payasam_type,milk_ml,water_ml,main_ingredient_g,sugar_g,cooking_time_min,temperature_c,consistency_score
Parippu,659,589,96,82,19,73,51.87
Paal,555,111,33,104,52,73,55.48
Rice,523,338,87,56,24,62,63.49
Paal,332,148,54,106,54,89,64.55
Paal,326,141,76,175,60,87,74.58
Semiya,305,265,67,61,38,76,61.83
Rice,577,181,44,65,49,62,60.33
Rice,250,528,92,92,58,75,70.14
Rice,228,390,50,166,37,73,64.33
Paal,661,257,128,184,31,89,60.12
Parippu,495,315,86,160,15,79,60.69
Rice,496,589,146,100,45,88,68.22
Paal,606,257,82,124,45,72,58.32
Semiya,604,561,75,57,56,74,61.06
Parippu,545,233,145,94,56,73,85.76
Semiya,619,166,43,108,48,83,60.72
Parippu,381,435,129,181,23,84,81.64
Paal,200,106,105,153,36,78,70.25
Palada,766,535,46,147,27,65,37.3
Parippu,570,113,68,128,39,69,72.75
Semiya,630,172,38,173,32,86,52.68
Paal,508,498,128,53,26,74,50.62
Parippu,336,504,106,139,54,80,76.44
Palada,401,262,108,153,31,81,75.2
Palada,635,165,111,186,29,79,67.97
Rice,512,446,144,168,56,85,73.31
Rice,316,229,126,182,29,65,80.28
Semiya,774,518,35,105,29,82,35.57
Parippu,443,565,120,145,53,84,78.13
Parippu,736,305,52,124,27,69,57.61
Rice,274,375,88,192,31,66,71.85
Parippu,585,565,120,81,46,81,70.94
Parippu,409,355,127,77,23,76,77.94
Palada,674,365,149,71,54,77,76.89
Rice,617,124,75,66,34,76,72.31
Paal,546,549,67,108,40,68,40.73
Rice,728,380,43,139,41,69,47.91
Paal,378,352,129,155,35,69,71.23
Palada,381,409,146,75,32,84,81.53
Semiya,224,388,101,74,27,66,64.29
Parippu,379,263,91,187,30,75,70.67
Palada,700,194,64,94,23,88,61.2
Parippu,360,369,48,132,26,77,56.95
Semiya,376,420,59,60,58,65,61.34
Semiya,484,209,107,153,52,86,81.51
Palada,262,435,113,117,33,79,71.18
Semiya,355,409,142,144,21,60,67.99
Paal,668,337,54,114,49,60,45.23
Semiya,248,480,69,98,32,71,61.5
Parippu,283,535,117,101,30,80,77.67
Parippu,560,486,43,151,53,87,60.79
Parippu,347,582,55,106,18,61,59.6
Parippu,541,524,131,96,39,63,71.62
Paal,675,489,116,75,46,76,61.29
Rice,262,124,51,163,54,63,73.99
Palada,559,240,77,54,27,70,67.09
Parippu,760,216,150,133,59,81,92.92
Semiya,526,581,112,101,31,85,58.29
Parippu,340,491,139,154,51,63,90.47
Semiya,414,504,80,103,20,60,56.79
Semiya,634,581,32,64,33,66,42.5
Parippu,517,551,71,110,27,89,47.26
Paal,231,124,48,171,40,77,65.91
Semiya,484,178,102,70,28,68,66.55
Semiya,504,167,57,95,45,88,63.71
Parippu,628,272,113,183,18,62,69.2
Semiya,676,543,74,87,53,67,53.3
Semiya,485,111,100,111,22,88,71.96
Parippu,343,387,107,135,39,83,79.71
Parippu,623,227,92,127,27,78,67.84
Palada,218,195,102,95,46,63,84.04
Paal,217,191,148,190,52,77,89.64
Paal,789,240,150,52,52,79,70.27
Semiya,570,130,48,55,42,86,64.13
Paal,374,433,76,142,44,70,55.78
Semiya,393,119,145,57,17,86,69.21
Palada,701,245,43,157,42,73,55.23
Parippu,312,576,149,124,17,84,76.8
Parippu,313,415,67,126,59,77,76.9
Parippu,421,546,82,99,48,87,68.32
Paal,463,489,90,60,30,87,54.28
Palada,254,259,65,144,36,88,79.57
Paal,657,448,69,119,46,75,51.93
Paal,361,142,110,65,52,62,75.57
Palada,579,353,59,117,22,74,50.98
Palada,286,229,38,148,22,86,53.8
Palada,254,159,93,97,20,86,62.42
Palada,675,250,62,113,28,90,53.2
Parippu,377,566,149,139,46,63,71.79
Rice,590,386,81,125,49,64,66.87
Rice,548,598,118,188,24,76,62.84
Palada,207,104,43,150,17,66,57.26
Rice,512,566,104,138,26,75,62.28
Rice,642,517,82,67,45,73,55.0
Palada,527,365,128,68,43,85,74.94
Rice,253,444,134,104,19,75,77.43
Paal,438,229,88,151,39,66,59.34
Semiya,428,481,107,167,55,68,69.85
Semiya,778,366,123,183,45,63,66.46
Palada,250,277,70,53,35,89,61.27
Parippu,463,352,97,157,34,89,73.84
Palada,617,514,97,164,53,81,60.66
Parippu,295,155,121,78,36,70,85.96
Semiya,287,562,37,108,18,61,41.43
Palada,277,556,31,174,27,71,45.32
Paal,487,570,134,147,59,71,66.46
Rice,319,182,139,66,56,89,89.33
Parippu,690,492,115,156,34,63,69.92
Rice,651,198,70,92,27,77,59.55
Rice,699,248,149,129,31,85,73.09
Palada,364,428,84,57,50,80,73.87
Rice,381,255,45,190,47,90,71.66
Paal,668,289,122,155,15,66,53.97
Rice,206,593,91,57,29,88,58.76
Palada,529,470,142,145,27,60,67.74
Paal,350,362,77,143,31,90,56.96
Semiya,284,179,59,114,38,85,67.27
Rice,346,499,41,88,22,85,54.0
Palada,580,351,64,130,41,82,62.64
Semiya,747,196,40,133,59,85,50.13
Semiya,484,359,93,137,37,72,64.07
Parippu,281,359,139,135,60,65,91.07
Paal,713,202,79,142,22,65,59.19
Rice,722,139,114,135,22,71,68.02
Palada,585,372,50,93,40,67,50.4
Parippu,670,200,98,186,27,83,70.7
Paal,318,458,77,123,53,81,61.39
Parippu,595,479,49,85,51,78,49.69
Paal,731,407,130,150,42,64,61.95
Paal,460,320,96,153,39,77,60.79
Rice,455,407,73,115,30,90,61.83
Paal,425,519,62,104,16,89,39.31
Parippu,252,223,146,140,32,64,84.69
